origin,destination,count
DEL,DUB,4
DEL,GAU,144
DEL,IMF,32
DEL,KMG,7
DEL,LKO,1276
DEL,MAD,14
DEL,MIA,1
DEL,NAG,73
DEL,SJC,1
DEL,TAS,8
DEL,VGA,133
DEL,VNS,186
DEL,YYZ,2824
DEN,ATW,1
DEN,ATY,73
DEN,BUR,15225
DEN,BWI,30560
DEN,CHS,14
DEN,FNT,11
DEN,GEG,13134
DEN,HDN,2112
DEN,HYS,651
DEN,ISN,4489
DEN,JAN,2
DEN,LBB,2780
DEN,MAF,3798
DEN,OGG,600
DEN,PHX,111252
DEN,PIT,14973
DEN,RDU,13070
DEN,ROC,2
DEN,SDQ,3
DEN,SFO,127655
DEN,SJU,77
DEN,SYR,1
DEN,TEX,93
DEN,YYZ,14291
DET,PHX,8
DFW,AEX,3547
DFW,AGU,2884
DFW,ATH,2
DFW,AUG,2
DFW,BDA,2
DFW,BMI,3264
DFW,BOI,4109
DFW,BRU,4
DFW,CCU,1
DFW,CHA,7140
DFW,CUN,3748
DFW,DCA,80652
DFW,DUB,4
DFW,DUS,3
DFW,DXB,3664
DFW,FMY,1
DFW,GCM,53
DFW,GGG,2119
DFW,GPT,3146
DFW,GSP,12781
DFW,HAM,4
DFW,LCH,3678
DFW,LHR,36906
DFW,MTY,15697
DFW,MXP,58
DFW,PBI,15092
DFW,PSC,4
DFW,PTY,327
DFW,RAP,2247
DFW,RTB,16
DFW,SAF,3926
DFW,SAV,5197
DFW,SCL,4821
DFW,SFO,102642
DFW,SKG,1
DFW,SVQ,1
DFW,TVC,2
DFW,VIE,2
DGO,GDL,3
DGO,MTY,97
DIY,ESB,1
DJE,LYS,5
DJJ,DPS,6
DJJ,UPG,2
DKR,LFW,128
DKR,RAI,23
DLA,COO,5
DLA,IST,50
DLA,JNB,10
DLA,LFW,103
DLA,SSG,2038
DLC,NKG,20
DLC,TPE,62
DLC,YNT,8
DLG,CLP,1
DLG,KMO,9
DLU,CTU,10
DLU,KMG,27
DMB,AKX,2
DME,GOJ,89
DME,GVA,203
DME,GYD,20
DME,LCA,5
DME,NOZ,10
DME,OMS,15
DME,PHX,5
DME,VIE,435
DMK,BFV,10
DMK,CJM,2
DMK,HDY,12
DMK,KIX,7
DMK,KMG,1
DMK,TPE,23
DMK,UBP,4
DMM,AMS,1188
DMM,AUH,804
DMM,JED,498
DMM,PHX,2
DNH,PEK,10
DOH,AMM,301
DOH,ARN,161
DOH,ATH,347
DOH,DUR,18
DOH,EZE,38
DOH,KTM,1027
DOH,LHR,4857
DOH,NJF,135
DOH,RAK,4
DOH,SHJ,26
DOH,SOEKA,1
DOH,YUL,595
DOU,VCP,11
DPL,MNL,2
DPO,LST,4
DPS,BDO,23
DPS,KIX,20
DPS,MEL,265
DPS,PER,228
DPS,PLM,1
DPS,SEA,1
DRO,PHX,3366
DRW,GTE,52
DRW,NTL,1
DRW,SIN,81
DRW,TCA,4
DSA,KSC,1
DSA,TXL,19
DSM,BJX,1
DSM,HSV,1
DSM,IAH,2384
DSM,MDW,69
DSM,TPA,5
DSN,NAY,20
DSN,NKG,2
DTT,DSM,1
DTT,MEX,1
DTT,MIA,1
DTT,SDF,3
DTW,ACY,104
DTW,BOS,72710
DTW,BUF,19699
DTW,CIU,1512
DTW,EVV,9275
DTW,GRR,45249
DTW,HKG,253
DTW,JNB,22
DTW,MBJ,23
DTW,MEL,1
DTW,PHL,67583
DTW,PLN,1881
DTW,PVD,16098
DTW,TLV,2
DTW,YMQ,2
DUB,ADB,3
DUB,ALC,51
DUB,BIQ,7
DUB,BOS,8867
DUB,CCF,4
DUB,CDG,9504
DUB,CPH,1445
DUB,DUB,9
DUB,DUS,1515
DUB,EAM,2
DUB,EDI,3004
DUB,LAS,4
DUB,MCO,223
DUB,MJV,10
DUB,MSP,48
DUB,NYC,3
DUB,OPO,46
DUB,OSL,272
DUB,OTP,195
DUB,PMO,10
DUB,SLC,27
